City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Yining,CN,74.46,clear sky,29.04,114.56,Xiushui Hotel
2,Marsa Matruh,EG,82.4,clear sky,31.35,27.25,Beau Site
6,Ribeira Grande,PT,78.8,few clouds,38.52,-28.7,Quinta da Meia Eira
7,Kutum,SD,81.88,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
9,Guerrero Negro,MX,75.15,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
15,San Patricio,MX,82.4,broken clouds,19.22,-104.7,Hotel Cabo Blanco
16,Maun,BW,80.6,clear sky,-19.98,23.42,Enviro Villa
17,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Castro,BR,74.1,few clouds,-24.79,-50.01,CHACARA BAILLY
19,Grand Gaube,MU,73.0,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
25,Hamilton,US,72.0,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
26,Manicore,BR,86.0,clear sky,-5.81,-61.3,Pousada da wanda
34,Teluknaga,ID,82.99,few clouds,-6.1,106.64,Bale Ocasa hotel
35,Royan,FR,75.0,scattered clouds,45.63,-1.03,Hôtel Cordouan Thalassothérapie et Spa - Royan
36,Nicoya,CR,84.2,clear sky,10.15,-85.45,Guayacan Real
39,Piacabucu,BR,80.19,clear sky,-10.41,-36.43,Piaçabuçu News
40,Monte Santo,BR,87.08,few clouds,-10.44,-39.33,Pousada Pingo D'Água
41,Saint-Joseph,RE,71.6,light rain,-21.37,55.62,"""Plantation Bed and Breakfast"
43,Mahibadhoo,MV,83.93,scattered clouds,3.78,72.97,Omadhoo Inn
46,Caravelas,BR,81.95,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
47,Hami,CN,75.69,clear sky,42.8,93.45,Laoyutang Resort
49,Praia Da Vitoria,PT,78.8,scattered clouds,38.73,-27.07,Hotel Branco I
53,Clinton,US,75.99,scattered clouds,42.59,-82.92,River's Edge
55,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
56,Mangrol,IN,80.64,clear sky,21.12,70.12,Hotel The Royal Honours
57,Nouadhibou,MR,80.6,clear sky,20.93,-17.03,El Medina
59,Bardiyah,LY,80.87,clear sky,31.76,25.09,بورتو بردية
60,Kavieng,PG,82.69,moderate rain,-2.57,150.8,Nusa Island Retreat
61,Hithadhoo,MV,82.45,overcast clouds,-0.6,73.08,Scoop Guest House
64,Rong Kwang,TH,76.73,overcast clouds,18.34,100.32,Rong Kwang Hotel
72,Poum,NC,70.07,scattered clouds,-20.23,164.02,Gîte kajeon
74,Terrasini,IT,78.8,broken clouds,38.15,13.08,Florio Park Hotel
75,Cabedelo,BR,84.2,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
76,Tumaco,CO,78.98,broken clouds,1.8,-78.82,Hotel los mellizos
77,Vila Franca Do Campo,PT,80.6,few clouds,37.72,-25.43,Pestana Bahia Praia
80,Lukang,TW,82.0,scattered clouds,24.06,120.44,二鹿行館 Lu Kang Bed and Breakbast
81,Atuona,PF,78.48,light rain,-9.8,-139.03,Villa Enata
84,Shingu,JP,77.11,clear sky,33.73,135.98,Shingu UI Hotel
87,Kahului,US,77.0,clear sky,20.89,-156.47,Maui Seaside Hotel
88,Krasnoye,UA,78.8,overcast clouds,49.91,24.61,Feniks
89,Boa Vista,BR,86.0,broken clouds,2.82,-60.67,Aipana Plaza Hotel
92,Victoria,HK,86.0,few clouds,22.29,114.16,Mini Hotel Central
93,Vitoria De Santo Antao,BR,84.2,scattered clouds,-8.12,-35.29,Pousada Matrix
94,Saint-Philippe,RE,71.6,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
95,Butaritari,KI,82.98,light rain,3.07,172.79,Isles Sunset Lodge
97,Tiko,CM,80.6,thunderstorm,4.07,9.37,3813 Hotel Tiko
101,Alofi,NU,77.0,broken clouds,-19.06,-169.92,Taloa Heights
103,Soyo,AO,75.2,few clouds,-6.13,12.37,Hotel Mpampa
105,Basco,PH,84.38,overcast clouds,20.45,121.97,Nathaniel's Lodge
106,Gat,IL,89.01,clear sky,31.61,34.76,OlusHome
107,Koutsouras,GR,84.49,clear sky,35.03,25.95,The White Houses
111,Chipata,ZM,77.52,clear sky,-13.63,32.65,Protea Hotel by Marriott Chipata
112,Tecoanapa,MX,85.39,clear sky,16.52,-98.75,Hotel Manglares
113,Hilo,US,71.6,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
114,Karonga,MW,74.25,clear sky,-9.93,33.93,Sumuka Inn
116,Bethel,US,71.01,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
118,San Cristobal,VE,80.6,moderate rain,7.77,-72.22,Pirineos
123,Katsuura,JP,75.2,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
124,Arraial Do Cabo,BR,78.8,scattered clouds,-22.97,-42.03,Pousada Porto Praia
125,Bindura,ZW,75.51,few clouds,-17.3,31.33,Mayfair Lodges and Restaurant
128,Namatanai,PG,80.01,light rain,-3.67,152.43,Namatanai Hotel
130,Lorengau,PG,82.04,light rain,-2.02,147.27,Lorengau Harbourside Hotel
133,Bengkulu,ID,77.88,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
134,Porto Santo,PT,75.2,scattered clouds,33.07,-16.34,Hotel Porto Santo & Spa
137,Maceio,BR,78.8,shower rain,-9.67,-35.74,Mercure Maceio Pajucara Hotel
138,Izumo,JP,80.6,broken clouds,35.37,132.77,Toyoko-Inn Izumoshi ekimae
142,Lagunas,PE,88.77,overcast clouds,-5.23,-75.68,Hospedaje Eco
143,Kapaa,US,75.99,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
151,Mogadishu,SO,78.26,broken clouds,2.04,45.34,Hotel Juba
153,Zonguldak,TR,72.46,clear sky,41.25,31.83,Süleyman Tez Ev
156,Katherine,AU,82.4,broken clouds,-14.47,132.27,Pine Tree Motel
159,Lafayette,US,89.01,broken clouds,30.23,-92.07,Hilton Garden Inn Lafayette/Cajundome
161,Quatre Cocos,MU,73.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
162,Tual,ID,78.93,broken clouds,-5.67,132.75,Grand Vilia Hotel
163,Kashi,CN,75.2,overcast clouds,39.45,75.98,帕米尔青年旅舍
166,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
172,Mchinji,MW,76.41,clear sky,-13.8,32.88,Compass Lodge
173,Yangcun,CN,77.0,light rain,39.36,117.06,Hanting Express Tianjin Wuqing Jingjin Road
176,Avarua,CK,71.6,overcast clouds,-21.21,-159.78,Paradise Inn
178,Chauk,MM,80.64,overcast clouds,20.88,94.82,Bo Khin Guest House
181,Kawalu,ID,71.4,overcast clouds,-7.38,108.21,KOSAN UNGU UNSIK
187,Ponta Do Sol,PT,75.2,few clouds,32.67,-17.1,Hotel do Campo
188,Sujiatun,CN,71.6,moderate rain,41.66,123.34,Hunnan Di Yicun Northern District
190,Tautira,PF,71.6,few clouds,-17.73,-149.15,Pension Oaoa
193,Sao Joao Da Barra,BR,80.6,few clouds,-21.64,-41.05,Pousada Porto De Canoas
194,Sao Filipe,CV,77.25,broken clouds,14.9,-24.5,Tortuga B&B
196,Makakilo City,US,78.8,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
197,Luangwa,ZM,87.1,clear sky,-15.62,30.42,Gerasimos Safari Lodge
199,Phulabani,IN,76.75,overcast clouds,20.47,84.23,Hotel Raj Kamal
200,Kuching,MY,78.8,few clouds,1.55,110.33,Hilton Kuching
203,Kushmurun,KZ,74.93,clear sky,52.45,64.63,Gostinitsa Pri Depo
205,Jamestown,US,71.01,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
206,Marfino,RU,82.4,broken clouds,55.7,37.38,Kardiologicheskiy Sanatornyy Tsentr Peredelkino
208,Kindu,CD,77.63,light rain,-2.95,25.95,Hotel Karibu
213,Los Llanos De Aridane,ES,77.0,few clouds,28.66,-17.92,Valle Aridane
214,Mumbwa,ZM,82.02,clear sky,-14.98,27.06,Mumbwa Motel
215,Paragould,US,81.0,broken clouds,36.06,-90.5,Linwood Motel
216,Monrovia,LR,84.2,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
218,Kerema,PG,77.76,light rain,-7.96,145.78,Elore Lodge
219,Abilene,US,86.0,clear sky,32.45,-99.73,La Quinta Inn by Wyndham Abilene
220,Meulaboh,ID,76.75,moderate rain,4.14,96.13,Kost Pria
221,Faya,SA,77.0,scattered clouds,18.39,42.45,مقبرة ال مجمل
223,Hobyo,SO,78.55,clear sky,5.35,48.53,Osmani Hotel
235,Pemangkat,ID,78.71,overcast clouds,1.17,108.97,Kost H.Syamsuddin
237,Bathsheba,BB,84.2,broken clouds,13.22,-59.52,Atlantis Hotel
239,Hammond,US,73.99,clear sky,41.58,-87.5,"Residence Inn by Marriott Chicago Southeast/Hammond, IN"
240,Belmonte,BR,80.6,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
242,Faanui,PF,77.5,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
243,Kikwit,CD,88.83,broken clouds,-5.04,18.82,Centre D'Accueil Protestant
244,Karratha,AU,75.29,broken clouds,-20.74,116.85,ibis Styles Karratha
246,Tarancon,ES,77.0,overcast clouds,40.01,-3.01,hotel castilla
250,Iquitos,PE,86.0,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
254,Balkanabat,TM,77.7,scattered clouds,39.51,54.37,Nebitchi Hotel
258,Tarata,BO,71.6,broken clouds,-17.62,-66.02,TARA TARA Centro Alternativo Hosting
262,Mbandaka,CD,79.47,broken clouds,0.05,18.26,Guest House Epervier
264,Cabo San Lucas,MX,82.99,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
268,Yen Bai,VN,80.11,few clouds,21.7,104.87,AK MOTEL
269,Sola,VU,79.75,overcast clouds,-13.88,167.55,Leumerus Bungalows
271,Oron,NG,78.24,moderate rain,4.83,8.23,Aqua Belloni Lodge
274,Terekli-Mekteb,RU,80.29,clear sky,44.17,45.87,"Gostevoy Dvor ""U Gul'zary"""
276,Naze,JP,86.0,light rain,28.37,129.48,奄美ポートタワーホテル
277,Khandbari,NP,75.07,overcast clouds,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
278,Cartama,ES,79.0,few clouds,36.71,-4.63,GCE Hoteles
282,Shimoda,JP,70.0,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
284,Saint George,US,80.01,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
285,Prudentopolis,BR,79.72,scattered clouds,-25.21,-50.98,Mayná Palace Hotel
288,Salalah,OM,78.8,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
293,Bandarbeyla,SO,77.49,clear sky,9.49,50.81,REER XOOSHLE GROUP
296,Torez,UA,78.01,clear sky,48.04,38.6,Мотель Торез
300,Tura,IN,76.51,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
301,Taitung,TW,81.5,overcast clouds,22.76,121.14,Taitung Bali Suites Hotel
302,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
303,Shache,CN,79.2,overcast clouds,38.42,77.24,Delong Hotel
314,Kapustin Yar,RU,78.35,clear sky,48.58,45.74,"Gostinitsa ""Znamensk"""
317,Orta Nova,IT,87.8,scattered clouds,41.33,15.71,Hotel Novelli
318,Atasu,KZ,71.8,few clouds,48.68,71.64,Dostyk
320,Palu,ID,76.55,overcast clouds,-0.89,119.87,Hotel Santika Palu
321,Amahai,ID,82.99,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
325,Bhatkal,IN,79.59,scattered clouds,13.97,74.57,SPOT ON 61793 Chaya Residency SPOT
328,Buala,SB,81.16,light rain,-8.14,159.59,Maringe Lagoon Lodge
330,Kathu,TH,86.0,scattered clouds,7.92,98.33,Sunset Beach Resort
332,Exu,BR,89.6,scattered clouds,-7.51,-39.72,Pousada Albuquerque
334,Poso,ID,77.32,moderate rain,-1.4,120.75,Hotel 77 Poso
337,Nohar,IN,89.76,broken clouds,29.18,74.77,Hotel Eva Inn
339,Bubaque,GW,80.38,overcast clouds,11.28,-15.83,Casa Dora
340,Nhulunbuy,AU,75.2,clear sky,-12.23,136.77,East Arnhem Real Estate
341,Sijunjung,ID,73.27,scattered clouds,-0.69,100.95,Hotel Bukik Gadang
346,Barcelos,PT,79.0,scattered clouds,41.54,-8.62,Hotel Do Terço
347,Oyama,JP,80.01,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
348,Huilong,CN,82.99,clear sky,31.81,121.66,Hilton Garden Inn Qidong
350,Bambous Virieux,MU,73.0,shower rain,-20.34,57.76,Casa Tia Villa
354,San Policarpo,PH,80.31,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
355,Morondava,MG,75.76,clear sky,-20.28,44.28,La Case Bambou
356,Eyl,SO,79.47,clear sky,7.98,49.82,Amiin Hotel
357,Banda Aceh,ID,78.91,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
358,Mitsamiouli,KM,82.4,scattered clouds,-11.38,43.28,Foyer ADM
360,Vaitape,PF,78.31,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
365,Marion,US,73.99,broken clouds,39.77,-86.16,Hilton Indianapolis Hotel & Suites
367,Praia,CV,84.2,broken clouds,14.92,-23.51,LT Aparthotel
369,Port-Gentil,GA,82.4,broken clouds,-0.72,8.78,Fengshui Residence
370,Biak,ID,76.82,broken clouds,-0.91,122.88,Kost Ariz
374,Padang,ID,78.94,overcast clouds,-0.95,100.35,Mercure Padang
376,Teahupoo,PF,71.6,few clouds,-17.83,-149.27,Vanira Lodge
377,Dingle,PH,75.78,overcast clouds,11.0,122.67,Camp Pasica
378,Lethem,GY,85.23,broken clouds,3.38,-59.8,Savannah Inn
379,Saint-Pierre,RE,71.6,scattered clouds,-21.34,55.48,Lindsey Hôtel
383,Rio De Jesus,PA,84.6,scattered clouds,7.98,-81.16,Finca El Mono
390,Agdas,AZ,86.0,clear sky,40.65,47.48,MAQA telecom
391,Amposta,ES,75.99,clear sky,40.71,0.58,Hotel Hcc Montsià
393,Goderich,CA,72.0,clear sky,43.75,-81.72,Harmony Inn
396,Mangochi,MW,81.59,clear sky,-14.48,35.26,Eunice Guesthouse
398,Iberia,US,87.8,overcast clouds,29.95,-91.75,back to back rv park
401,Xinmin,CN,71.6,overcast clouds,41.99,122.83,Agricultural Machinery Hotel
402,Santa Rosa,PH,80.6,overcast clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
403,Abhaynagar,BD,84.94,heavy intensity rain,23.01,89.4,Alam Mallick House
405,Luanda,AO,73.4,broken clouds,-8.84,13.23,EPIC SANA Luanda
408,Chandpur,IN,80.98,clear sky,29.15,78.27,A.A.S Garments
409,Tezu,IN,77.63,overcast clouds,27.92,96.17,Circuit House
412,Pilar,BR,78.8,shower rain,-9.6,-35.96,Pousada e churrascaria Manguaba
413,Esik,KZ,75.2,broken clouds,43.36,77.45,"Gostevoy Dom ""Asyl Tau"""
416,Tank,PK,81.7,moderate rain,32.22,70.38,Gula Jan Abdulai
