City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yarada,IN,2020-08-30 02:26:49,17.65,83.27,84.2,89,40,2.24
1,Bluff,NZ,2020-08-30 02:26:49,-46.6,168.33,54.03,74,67,29.46
2,Longyearbyen,SJ,2020-08-30 02:26:49,78.22,15.64,41.0,89,40,21.92
3,Barrow,US,2020-08-30 02:21:51,71.29,-156.79,37.4,74,90,17.22
4,Lavrentiya,RU,2020-08-30 02:26:50,65.58,-171.0,50.74,65,0,10.76
5,Cape Town,ZA,2020-08-30 02:24:44,-33.93,18.42,39.2,93,75,2.24
6,Ushuaia,AR,2020-08-30 02:26:50,-54.8,-68.3,32.0,93,90,20.8
7,East London,ZA,2020-08-30 02:26:50,-33.02,27.91,52.05,61,42,18.97
8,Bengkulu,ID,2020-08-30 02:22:49,-3.8,102.27,83.79,64,67,4.34
9,Busselton,AU,2020-08-30 02:26:50,-33.65,115.33,55.99,69,51,5.99
10,Aden,YE,2020-08-30 02:26:50,12.78,45.04,85.77,76,55,26.11
11,Nome,US,2020-08-30 02:24:12,64.5,-165.41,59.0,77,90,10.29
12,Chapleau,CA,2020-08-30 02:26:51,47.84,-83.4,55.4,100,90,2.24
13,Trincomalee,LK,2020-08-30 02:26:51,8.57,81.23,82.11,73,100,17.52
14,Drayton Valley,CA,2020-08-30 02:26:51,53.22,-114.99,57.99,51,50,3.0
15,Bredasdorp,ZA,2020-08-30 02:26:51,-34.53,20.04,41.0,86,8,9.17
16,Albany,US,2020-08-30 02:26:51,42.6,-73.97,70.0,70,15,10.0
17,Prince Rupert,CA,2020-08-30 02:26:51,54.32,-130.32,57.2,82,20,3.36
18,Ancud,CL,2020-08-30 02:26:51,-41.87,-73.82,39.0,96,69,5.01
19,New Norfolk,AU,2020-08-30 02:26:52,-42.78,147.06,66.99,52,58,5.99
20,Saint-Philippe,RE,2020-08-30 02:26:52,-21.36,55.77,64.4,77,76,5.82
21,Chivay,PE,2020-08-30 02:26:52,-15.64,-71.6,48.83,46,62,3.29
22,Mokhsogollokh,RU,2020-08-30 02:26:52,61.47,128.92,65.46,50,99,7.25
23,Oranjemund,NA,2020-08-30 02:26:52,-28.55,16.43,49.33,72,0,7.34
24,Karratha,AU,2020-08-30 02:26:53,-20.74,116.85,88.57,20,0,20.4
25,Airai,TL,2020-08-30 02:26:53,-8.93,125.41,72.7,42,98,5.1
26,Constitucion,CL,2020-08-30 02:26:53,-35.33,-72.42,45.41,63,0,10.58
27,Wajima,JP,2020-08-30 02:26:53,37.4,136.9,86.0,70,40,4.7
