City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yining,CN,29.04,114.56,74.46,82,0,1.19,clear sky
1,Rikitea,PF,-23.12,-134.97,69.4,84,94,13.62,light rain
2,Marsa Matruh,EG,31.35,27.25,82.4,74,0,9.17,clear sky
3,Bluff,NZ,-46.6,168.33,45.0,72,99,11.01,overcast clouds
4,Tasiilaq,GL,65.61,-37.64,41.0,75,100,14.99,light intensity shower rain
5,Port Alfred,ZA,-33.59,26.89,58.53,52,2,11.79,clear sky
6,Ribeira Grande,PT,38.52,-28.7,78.8,65,20,6.93,few clouds
7,Kutum,SD,14.2,24.67,81.88,47,51,5.73,broken clouds
8,Mataura,NZ,-46.19,168.86,45.0,72,100,11.01,overcast clouds
9,Guerrero Negro,MX,27.98,-114.06,75.15,62,0,6.89,clear sky
10,Albany,US,42.6,-73.97,70.0,62,51,3.27,broken clouds
11,Mar Del Plata,AR,-38.0,-57.56,48.2,61,75,12.75,broken clouds
12,Ushuaia,AR,-54.8,-68.3,35.6,80,75,17.22,broken clouds
13,Okhotsk,RU,59.38,143.3,52.9,86,85,8.66,overcast clouds
14,Disna,BY,55.57,28.2,60.75,92,93,8.99,overcast clouds
15,San Patricio,MX,19.22,-104.7,82.4,74,75,4.45,broken clouds
16,Maun,BW,-19.98,23.42,80.6,18,0,6.93,clear sky
17,Vaini,TO,-21.2,-175.2,75.2,94,75,9.17,broken clouds
18,Castro,BR,-24.79,-50.01,74.1,60,12,8.05,few clouds
19,Grand Gaube,MU,-20.01,57.66,73.0,74,7,8.01,light rain
20,Tiksi,RU,71.69,128.87,41.7,89,0,9.01,clear sky
21,Lasa,IT,46.62,10.7,53.6,66,75,8.05,broken clouds
22,Busselton,AU,-33.65,115.33,53.01,98,100,19.3,light rain
23,Bilma,NE,18.69,12.92,99.81,23,0,5.59,clear sky
24,Leningradskiy,RU,69.38,178.42,35.6,95,100,8.5,light rain
25,Hamilton,US,39.18,-84.53,72.0,83,90,3.36,overcast clouds
26,Manicore,BR,-5.81,-61.3,86.0,66,9,4.7,clear sky
27,Ilulissat,GL,69.22,-51.1,41.0,65,20,3.36,few clouds
28,Upernavik,GL,72.79,-56.15,38.71,80,83,4.85,broken clouds
29,Saint-Augustin,CA,51.23,-58.65,49.1,87,100,7.94,overcast clouds
30,Noumea,NC,-22.28,166.46,60.8,63,36,4.7,scattered clouds
31,Plettenberg Bay,ZA,-34.05,23.37,55.02,60,25,1.1,scattered clouds
32,Kaitangata,NZ,-46.28,169.85,42.01,88,100,8.01,overcast clouds
33,Mount Gambier,AU,-37.83,140.77,35.6,100,70,4.85,broken clouds
34,Teluknaga,ID,-6.1,106.64,82.99,74,20,5.82,few clouds
35,Royan,FR,45.63,-1.03,75.0,40,27,4.7,scattered clouds
36,Nicoya,CR,10.15,-85.45,84.2,70,0,5.82,clear sky
37,Vardo,NO,70.37,31.11,50.0,76,40,3.36,scattered clouds
38,Ouallam,NE,14.32,2.09,92.95,36,16,7.31,few clouds
39,Piacabucu,BR,-10.41,-36.43,80.19,69,5,13.27,clear sky
40,Monte Santo,BR,-10.44,-39.33,87.08,36,17,14.05,few clouds
41,Saint-Joseph,RE,-21.37,55.62,71.6,73,31,4.7,light rain
42,Chuy,UY,-33.7,-53.46,53.76,65,100,9.01,overcast clouds
43,Mahibadhoo,MV,3.78,72.97,83.93,68,37,6.76,scattered clouds
44,Somerset East,ZA,-32.72,25.59,54.91,33,27,5.12,scattered clouds
45,Aldan,RU,58.6,125.39,48.27,89,100,3.87,overcast clouds
46,Caravelas,BR,-17.71,-39.25,81.95,59,35,8.61,scattered clouds
47,Hami,CN,42.8,93.45,75.69,19,0,1.83,clear sky
48,Tiznit,MA,29.58,-9.5,90.72,34,41,4.63,light rain
49,Praia Da Vitoria,PT,38.73,-27.07,78.8,74,40,12.84,scattered clouds
50,Saint-Francois,FR,46.42,3.91,69.01,52,19,12.75,few clouds
51,Igarka,RU,67.47,86.58,47.71,90,0,8.41,clear sky
52,Puerto Ayora,EC,-0.74,-90.35,68.0,82,75,17.22,broken clouds
53,Clinton,US,42.59,-82.92,75.99,73,40,11.41,scattered clouds
54,Lavrentiya,RU,65.58,-171.0,43.09,74,95,15.88,overcast clouds
55,Mahebourg,MU,-20.41,57.7,71.6,88,40,11.41,shower rain
56,Mangrol,IN,21.12,70.12,80.64,85,7,10.98,clear sky
57,Nouadhibou,MR,20.93,-17.03,80.6,65,4,17.22,clear sky
58,Clyde River,CA,70.47,-68.59,55.4,43,40,11.41,scattered clouds
59,Bardiyah,LY,31.76,25.09,80.87,64,0,19.08,clear sky
60,Kavieng,PG,-2.57,150.8,82.69,78,36,10.2,moderate rain
61,Hithadhoo,MV,-0.6,73.08,82.45,74,88,11.81,overcast clouds
62,Norman Wells,CA,65.28,-126.83,44.6,93,75,5.82,broken clouds
63,Lebu,CL,-37.62,-73.65,50.13,60,0,5.28,clear sky
64,Rong Kwang,TH,18.34,100.32,76.73,85,100,1.45,overcast clouds
65,Vytegra,RU,61.01,36.45,56.41,85,100,7.02,light rain
66,Haines Junction,CA,60.75,-137.51,46.71,80,84,5.39,broken clouds
67,Karasburg,NA,-28.02,18.75,60.67,23,0,7.67,clear sky
68,Barrow,US,71.29,-156.79,39.2,86,90,23.04,overcast clouds
69,Nipawin,CA,53.37,-104.0,50.0,71,90,16.11,overcast clouds
70,New Norfolk,AU,-42.78,147.06,39.0,78,50,1.01,scattered clouds
71,Yichun,CN,47.7,128.9,62.46,98,68,3.2,broken clouds
72,Poum,NC,-20.23,164.02,70.07,71,50,14.65,scattered clouds
73,Qaanaaq,GL,77.48,-69.36,34.0,80,0,3.62,clear sky
74,Terrasini,IT,38.15,13.08,78.8,78,75,19.46,broken clouds
75,Cabedelo,BR,-6.98,-34.83,84.2,54,40,17.22,scattered clouds
76,Tumaco,CO,1.8,-78.82,78.98,78,82,8.03,broken clouds
77,Vila Franca Do Campo,PT,37.72,-25.43,80.6,69,20,13.87,few clouds
78,Roald,NO,62.58,6.13,57.99,58,24,11.41,few clouds
79,La Ronge,CA,55.1,-105.28,46.4,93,90,20.8,light intensity drizzle
80,Lukang,TW,24.06,120.44,82.0,88,40,11.41,scattered clouds
81,Atuona,PF,-9.8,-139.03,78.48,79,19,26.87,light rain
82,Port Elizabeth,ZA,-33.92,25.57,60.8,44,28,8.05,scattered clouds
83,Awbari,LY,26.59,12.78,104.18,10,0,16.53,clear sky
84,Shingu,JP,33.73,135.98,77.11,83,0,2.91,clear sky
85,Hobart,AU,-42.88,147.33,39.2,80,12,8.05,light snow
86,Punta Arenas,CL,-53.15,-70.92,42.8,70,40,23.04,scattered clouds
87,Kahului,US,20.89,-156.47,77.0,73,1,6.93,clear sky
88,Krasnoye,UA,49.91,24.61,78.8,39,97,8.95,overcast clouds
89,Boa Vista,BR,2.82,-60.67,86.0,62,75,2.24,broken clouds
90,Yellowknife,CA,62.46,-114.35,44.6,70,40,10.29,scattered clouds
91,Bilibino,RU,68.05,166.44,38.98,79,96,6.64,overcast clouds
92,Victoria,HK,22.29,114.16,86.0,80,11,5.12,few clouds
93,Vitoria De Santo Antao,BR,-8.12,-35.29,84.2,58,40,17.22,scattered clouds
94,Saint-Philippe,RE,-21.36,55.77,71.6,73,39,4.7,light rain
95,Butaritari,KI,3.07,172.79,82.98,76,1,10.38,light rain
96,Nikolskoye,RU,59.7,30.79,62.6,72,20,4.47,light rain
